City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
62,iqaluit,63.7506,-68.5145,42.53,93,100,3.44,CA,Sun Aug  4 21:30:13 2024
63,salinas,36.6777,-121.6555,80.73,74,75,12.66,US,Sun Aug  4 21:24:20 2024
64,bodo,67.28,14.405,64.78,72,0,14.97,NO,Sun Aug  4 21:32:29 2024
65,selfoss,63.9331,-20.9971,52.05,72,100,29.8,IS,Sun Aug  4 21:32:31 2024
66,bredasdorp,-34.5322,20.0403,43.9,70,20,10.36,ZA,Sun Aug  4 21:32:33 2024
67,enewetak,11.3474,162.3373,84.0,76,100,9.19,MH,Sun Aug  4 21:21:13 2024
68,al jawf,29.5,38.75,76.5,31,0,6.4,SA,Sun Aug  4 21:32:36 2024
69,hawaiian paradise park,19.5933,-154.9731,78.31,84,100,16.11,US,Sun Aug  4 21:32:38 2024
70,uturoa,-16.7333,-151.4333,76.6,72,5,15.82,PF,Sun Aug  4 21:32:39 2024
71,touros,-5.1989,-35.4608,73.99,82,16,11.99,BR,Sun Aug  4 21:29:15 2024
72,purpe,64.4803,76.6897,56.1,65,100,19.17,RU,Sun Aug  4 21:32:42 2024
73,askiz,53.1319,90.5264,69.84,65,9,5.68,RU,Sun Aug  4 21:32:43 2024
74,terrace,54.5163,-128.6035,89.51,22,20,6.91,CA,Sun Aug  4 21:29:40 2024
75,vilyuchinsk,52.9306,158.4028,70.07,75,91,6.49,RU,Sun Aug  4 21:32:46 2024
76,west island,-12.1568,96.8225,78.78,73,100,12.66,CC,Sun Aug  4 21:32:48 2024
77,kathmandu,27.7167,85.3167,73.62,94,40,2.3,NP,Sun Aug  4 21:32:05 2024
78,stanley,54.868,-1.6985,60.71,91,40,6.91,GB,Sun Aug  4 21:32:50 2024
79,punta arenas,-53.15,-70.9167,30.31,100,75,5.75,CL,Sun Aug  4 21:31:52 2024
80,mount gambier,-37.8333,140.7667,56.82,50,9,3.76,AU,Sun Aug  4 21:32:54 2024
81,gamba,-2.65,10.0,69.93,79,92,4.99,GA,Sun Aug  4 21:28:00 2024
82,lossiemouth,57.7214,-3.2834,60.71,84,0,9.22,GB,Sun Aug  4 21:32:56 2024
83,mugia,43.1041,-9.2179,66.16,93,2,5.93,ES,Sun Aug  4 21:32:58 2024
84,pemangkat,1.1667,108.9667,82.92,74,13,4.76,ID,Sun Aug  4 21:32:59 2024
85,port mathurin,-19.6833,63.4167,71.91,73,4,14.09,MU,Sun Aug  4 21:33:01 2024
86,nar'yan-mar,67.6713,53.087,45.77,68,78,14.56,RU,Sun Aug  4 21:33:02 2024
87,vrangel',42.7297,133.0839,66.25,76,100,14.54,RU,Sun Aug  4 21:33:04 2024
88,constantia,44.1833,28.65,66.88,74,5,8.9,RO,Sun Aug  4 21:33:05 2024
89,tindouf,27.6711,-8.1474,97.25,8,0,4.61,DZ,Sun Aug  4 21:33:07 2024
90,mungaoli,24.4167,78.1,75.47,92,100,14.9,IN,Sun Aug  4 21:33:08 2024
91,dunedin,-45.8742,170.5036,52.11,61,7,4.45,NZ,Sun Aug  4 21:33:09 2024
92,blackmans bay,-43.0167,147.3167,55.72,60,8,1.01,AU,Sun Aug  4 21:33:11 2024
93,jamestown,42.097,-79.2353,73.04,64,0,6.91,US,Sun Aug  4 21:33:12 2024
